City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Juneau,US,54.84,mist,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
582,Zbarazh,UA,70.48,clear sky,49.6636,25.7762,Edelʹveys
583,Faya,SA,69.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
584,Kasama,ZM,64.38,scattered clouds,-10.2129,31.1808,Kalebalika Cottages
586,Guanare,VE,71.62,scattered clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
589,Linjiang,CN,65.08,light rain,41.8069,126.9078,格林豪泰
590,Whitehorse,CA,50.09,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
591,Sokolskoye,RU,63.12,broken clouds,57.1412,43.1589,Akvatoriya
593,Kachiry,KZ,65.93,scattered clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
596,Romny,UA,63.16,light rain,50.751,33.4747,Floriana
597,Pangkalanbuun,ID,73.98,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
598,Soyo,AO,71.24,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
600,Petropavl,KZ,59.4,few clouds,54.8753,69.1628,Отель GREENWICH
602,Gold Coast,AU,61.25,moderate rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
605,Kvarkeno,RU,66.96,scattered clouds,52.0833,59.725,"Ooo ""Kvarkeno"""
606,Ginir,ET,59.29,broken clouds,7.1333,40.7,Sura Dare Village
616,Berlevag,NO,66.0,light rain,70.8578,29.0864,Kvitbrakka
617,Chicama,PE,59.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
619,Talara,PE,68.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
621,Daru,PG,76.03,broken clouds,-9.0763,143.2092,Daru Lodge
622,Ngorongoro,TZ,52.09,scattered clouds,-3.2397,35.4875,Simba Special Campsite B
623,Xam Nua,LA,67.73,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
624,Necochea,AR,51.64,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
625,Buba,GW,78.71,moderate rain,11.5833,-15.0,Pousada Bela Vista
626,Kouroussa,GN,78.76,light rain,10.65,-9.8833,Hotel Tando Plus
627,Gemena,CD,72.79,broken clouds,3.25,19.7667,Hôtel Goshen
629,Maragogi,BR,77.81,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
633,Neijiang,CN,76.28,overcast clouds,29.5835,105.0622,Han'an Hotel
634,Hobyo,SO,76.41,broken clouds,5.3505,48.5268,Iftin hotel hobyo
635,Ngunguru,NZ,51.67,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
636,Enshi,CN,73.98,overcast clouds,30.3,109.4833,Moevenpick Enshi
637,Simao,CN,65.93,overcast clouds,22.7886,100.9748,Changyu Hotel
639,Santa Cecilia,BR,71.31,scattered clouds,-26.9608,-50.4269,Hotel Italiano
641,Tukrah,LY,79.57,clear sky,32.5341,20.5791,Lagrota restaurant
642,Soe,ID,61.92,scattered clouds,-9.8607,124.284,Dena Hotel
643,Fairbanks,US,57.31,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
645,Liepaja,LV,76.98,clear sky,56.5419,21.0367,Promenade Hotel
649,Moose Factory,CA,60.8,mist,51.2585,-80.6094,Cree Village Eco Lodge
651,Nigel,ZA,55.38,overcast clouds,-26.4314,28.4771,Nambiti Lodge
652,Lima,PE,67.89,overcast clouds,-12.0432,-77.0282,Hotel Kamana
654,Aljezur,PT,75.85,broken clouds,37.3191,-8.8033,Amazigh Hostel
655,Buchanan,LR,77.83,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
656,Lamu,KE,75.06,clear sky,-2.2717,40.902,Lamu House
659,Kalemie,CD,73.45,clear sky,-5.9475,29.1947,Mahobilali
662,Camabatela,AO,75.97,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
663,Zhadovka,RU,59.58,light rain,53.5746,46.9498,Zhadovskiy Dom Kul'tury
665,Edendale,ZA,57.87,broken clouds,-29.6528,30.3147,Bed and Breakfast at the White House
667,Peterborough,GB,70.9,overcast clouds,52.5736,-0.2478,Park Inn by Radisson Peterborough Hotel
669,Kiambu,KE,65.79,broken clouds,-1.1667,36.8333,Veranohomes at Edenville 2
674,Derzhavinsk,KZ,68.68,clear sky,51.1,66.3167,Ooo.khim Baza
675,Omboue,GA,74.8,broken clouds,-1.5746,9.2618,Hotel Olako
676,Muroto,JP,79.83,clear sky,33.2833,134.15,Oota Ryokan
680,Eureka,US,58.19,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
685,Lompoc,US,74.84,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
687,Pasighat,IN,77.99,overcast clouds,28.0667,95.3333,Siang Guest House
688,Zharkent,KZ,78.96,clear sky,44.1628,80.0,гостиница Satti
690,Mandalgovi,MN,59.31,light rain,45.7625,106.2708,В.Ганбат
692,Francistown,BW,60.64,light rain,-21.17,27.5079,Budget House
693,Santiago Del Estero,AR,78.82,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
694,Mackenzie,CA,64.62,scattered clouds,55.2999,-123.1698,Hilton Shop
695,La Ronge,CA,62.82,broken clouds,55.1001,-105.2842,Northland Motor Hotel
696,Kailua,US,76.14,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
697,Fort Nelson,CA,59.94,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
699,Vaitape,PF,77.18,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
700,Tura,IN,75.78,light rain,25.5198,90.2201,Hotel RIKMAN Continental
702,Serebryansk,KZ,58.44,overcast clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
703,Uusikaupunki,FI,68.7,scattered clouds,60.8004,21.4084,Hotel Aquarius
705,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
706,Brae,GB,54.19,few clouds,60.3964,-1.353,Busta House Hotel
707,Thenzawl,IN,70.72,overcast clouds,23.3167,92.75,Grace Indane Gramin Vitrak Godown
708,San Quintin,MX,73.81,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
709,Toyooka,JP,74.57,scattered clouds,35.5333,134.8333,O Hotel Toyooka
710,Penha,BR,70.48,scattered clouds,-26.7694,-48.6458,Hotel Mirante do Parque
711,Ust-Barguzin,RU,55.44,overcast clouds,53.45,108.9833,Barguzinskiy Priboy Inn
712,Igrim,RU,62.65,broken clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
713,Ust-Ilimsk,RU,57.74,broken clouds,58.0006,102.6619,AleNat Center
715,Tubmanburg,LR,79.56,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
