City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,73,0,17.27,clear sky
283,De-Kastri,RU,51.4667,140.7833,56.95,98,100,5.75,overcast clouds
284,Husavik,IS,66.0449,-17.3389,50.72,78,76,6.49,broken clouds
285,Loreto,MX,22.2667,-101.9667,81.14,17,1,4.76,clear sky
286,Inuvik,CA,68.3499,-133.7218,54.46,97,100,6.91,light rain
287,Acapulco,MX,16.8634,-99.8901,86.68,68,81,5.06,broken clouds
288,Pisco,PE,-13.7,-76.2167,64.02,77,100,3.44,smoke
289,Lons-Le-Saunier,FR,46.75,5.75,85.24,45,0,2.57,clear sky
290,Det Udom,TH,14.906,105.0784,75.02,92,95,5.68,moderate rain
291,Makakilo City,US,21.3469,-158.0858,74.68,79,75,18.41,light rain
292,Jalu,LY,29.0331,21.5482,91.51,19,0,11.72,clear sky
293,Halapitan,PH,7.9175,125.33,70.7,97,100,0.96,overcast clouds
294,Alta,NO,69.9689,23.2717,60.19,86,75,3.44,broken clouds
295,Papara,BR,-3.9839,-38.7273,84.96,69,76,8.9,broken clouds
296,Feltre,IT,46.0235,11.907,94.51,55,9,2.93,clear sky
297,Abbeville,FR,50.1,1.8333,76.24,48,84,7.47,broken clouds
298,Eucaliptus,BO,-17.5833,-67.5167,59.16,11,74,6.2,broken clouds
299,Butka,RU,56.7179,63.7866,57.74,96,97,7.07,overcast clouds
300,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,8.05,scattered clouds
301,Ixtapa,MX,20.7,-105.2,89.22,74,28,3.0,scattered clouds
302,Slave Lake,CA,55.2834,-114.769,69.78,40,20,11.5,few clouds
303,Springfield,US,37.2153,-93.2982,92.43,43,0,7.0,clear sky
304,Ashland,US,40.8167,-82.2665,83.48,63,0,13.47,clear sky
305,Damietta,EG,31.4165,31.8133,79.34,70,1,14.76,clear sky
306,Orange,US,33.7,-117.7675,87.89,63,75,3.44,broken clouds
307,Guider,CM,9.9342,13.9486,81.03,74,77,4.32,broken clouds
308,Palmer,US,42.1584,-72.3287,93.24,58,69,7.0,broken clouds
309,Tambura,SS,5.6,27.4667,71.19,89,100,2.26,light rain
310,Havre-Saint-Pierre,CA,50.2334,-63.5986,70.16,56,75,12.66,broken clouds
311,Carutapera,BR,-1.195,-46.02,88.48,52,40,6.58,scattered clouds
312,Armidale,AU,-30.5167,151.65,44.19,97,100,15.57,overcast clouds
313,Tortoli,IT,39.9256,9.6572,87.53,44,8,3.18,clear sky
314,Requena,ES,39.4883,-1.1004,83.79,35,0,13.29,clear sky
315,Ahipara,NZ,-35.1667,173.1667,54.03,85,82,7.2,broken clouds
316,Touros,BR,-5.1989,-35.4608,81.99,64,83,13.89,broken clouds
317,Port Augusta,AU,-32.5,137.7667,48.79,89,79,7.05,broken clouds
318,La Paz,BO,-16.5,-68.15,60.78,12,40,6.91,scattered clouds
319,Mamallapuram,IN,12.6264,80.1722,87.85,73,71,7.94,broken clouds
320,Severo-Kurilsk,RU,50.6789,156.125,52.57,97,100,24.63,moderate rain
321,Kargasok,RU,59.0556,80.8572,57.38,94,97,6.06,light rain
322,Wakkanai,JP,45.4094,141.6739,59.61,92,36,8.68,scattered clouds
323,Saurimo,AO,-9.6608,20.3916,78.58,23,58,1.1,broken clouds
324,Jaisalmer,IN,26.9147,70.9181,89.91,59,82,17.11,broken clouds
325,Mehamn,NO,71.0357,27.8492,60.75,88,75,2.3,light rain
326,Akdepe,TM,42.0551,59.3788,98.69,20,0,18.72,clear sky
327,Torbay,CA,47.6666,-52.7314,75.88,64,75,19.57,broken clouds
328,Kavaratti,IN,10.5669,72.642,80.98,81,89,20.33,overcast clouds
329,Yerbogachen,RU,61.2767,108.0108,57.7,78,92,3.49,overcast clouds
330,Homer,US,59.6425,-151.5483,53.76,88,100,1.01,overcast clouds
331,Sidi Ali,DZ,36.0998,0.4206,84.09,52,0,13.67,clear sky
332,Kaitangata,NZ,-46.2817,169.8464,43.03,90,99,4.21,overcast clouds
333,Bani Walid,LY,31.7566,13.9942,88.5,25,0,19.82,clear sky
334,Axim,GH,4.8699,-2.2405,77.59,63,41,9.44,scattered clouds
335,Noumea,NC,-22.2763,166.4572,75.99,99,21,10.18,few clouds
336,Tilichiki,RU,60.4667,166.1,47.21,71,0,6.73,clear sky
337,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,40,10.36,scattered clouds
338,Sur,OM,22.5667,59.5289,89.06,65,98,10.29,overcast clouds
339,Gat,IL,31.61,34.7642,83.8,100,2,9.37,clear sky
340,Vanavara,RU,60.34,102.2797,56.46,75,65,2.48,broken clouds
341,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.85,22,5,3.62,clear sky
342,Smithers,CA,54.7804,-127.1743,59.32,63,40,0.0,scattered clouds
343,North Bend,US,43.4065,-124.2243,61.16,92,100,4.61,overcast clouds
344,Hede,CN,33.7681,120.2517,73.2,95,0,4.63,clear sky
345,Beyla,GN,8.6833,-8.6333,73.27,83,97,2.98,overcast clouds
346,Stokmarknes,NO,68.5646,14.9108,57.18,77,75,3.44,broken clouds
347,San Cristobal,VE,7.7669,-72.225,78.98,67,94,6.93,overcast clouds
348,Wisla,PL,49.6563,18.8591,85.15,55,14,4.18,few clouds
349,Hami,CN,42.8,93.45,77.68,22,0,2.06,clear sky
350,Felanitx,ES,39.4696,3.1483,92.44,49,0,8.48,clear sky
351,Sfantu Gheorghe,RO,45.8667,25.7833,81.82,39,2,7.2,clear sky
352,Houma,US,29.5958,-90.7195,95.0,66,66,5.99,broken clouds
353,Puerto Madryn,AR,-42.7692,-65.0385,49.3,35,98,22.86,overcast clouds
354,Zhangye,CN,38.9342,100.4517,62.67,47,1,9.35,clear sky
355,Coripata,BO,-16.3,-67.6,79.65,34,74,4.94,broken clouds
356,Santa Barbara,US,34.7333,-120.0343,89.35,17,20,5.14,few clouds
357,Haines Junction,CA,60.7522,-137.5108,49.95,71,96,1.14,overcast clouds
358,Machhlishahr,IN,25.6833,82.4167,84.16,75,100,4.81,overcast clouds
359,Umm Kaddadah,SD,13.6017,26.6876,77.38,57,100,2.82,overcast clouds
360,Tahta,EG,26.7693,31.5021,94.73,12,0,13.71,clear sky
361,Japura,ID,-0.3167,102.35,74.01,97,91,2.24,overcast clouds
362,Plouzane,FR,48.3833,-4.6167,69.85,54,40,13.8,scattered clouds
363,San Patricio,US,28.017,-97.5169,94.15,40,2,15.37,clear sky
364,Roros,NO,62.5747,11.3842,56.12,77,89,13.09,overcast clouds
365,Arkhangelsk,RU,64.5401,40.5433,66.31,88,0,6.71,clear sky
366,San Jose,US,37.3394,-121.895,79.5,61,40,3.44,scattered clouds
367,Raga,SS,8.4596,25.678,71.85,92,93,3.27,light rain
368,Palembang,ID,-2.9167,104.7458,77.09,94,20,2.3,haze
369,Egvekinot,RU,66.3167,-179.1667,35.04,66,21,11.21,few clouds
370,Dongsheng,CN,39.8161,109.9776,76.41,36,100,11.23,overcast clouds
371,Itaituba,BR,-4.2761,-55.9836,95.16,49,20,5.75,few clouds
372,Nieuw Amsterdam,SR,5.8833,-55.0833,85.01,84,40,6.91,scattered clouds
373,Ayia Galini,GR,35.1,24.6833,82.74,38,0,13.0,clear sky
374,Tual,ID,-5.6667,132.75,77.99,77,65,17.45,broken clouds
375,Saint George,US,37.1041,-113.5841,99.79,20,0,4.61,clear sky
376,Mantua,IT,45.1667,10.7833,100.09,16,2,5.55,clear sky
377,Namibe,AO,-15.1961,12.1522,64.47,81,0,5.32,clear sky
378,Lagoa,PT,39.05,-27.9833,72.82,80,72,4.41,broken clouds
